SMILES,ID,mNaCT pIC50
Clc1nc(NCCC#N)c2CN(Cc3ccccc3)CCc2c1C#N,170,5.26263610551908
Clc1nc(NCCCN2CCOCC2)c2CN(Cc3ccccc3)CCc2c1C#N,171,4.69897000433602
Clc1nc(NCc2ccc(cc2)-c2nn[nH]n2)c2CN(Cc3ccccc3)CCc2c1C#N,172,4.69897000433602
Clc1nc(NCc2cccc(c2)-c2nc[nH]n2)c2CN(Cc3ccccc3)CCc2c1C#N,173,4.69897000433602
Clc1nc(NCc2cccnn2)c2CN(Cc3ccccc3)CCc2c1C#N,174,4.69897000433602
Clc1nc(NCc2ccnnc2)c2CN(Cc3ccccc3)CCc2c1C#N,175,4.69897000433602
Clc1nc(NCc2cnccn2)c2CN(Cc3ccccc3)CCc2c1C#N,176,5.14760809208576
Clc1nc(NCc2cncnc2)c2CN(Cc3ccccc3)CCc2c1C#N,177,4.69897000433602
Clc1nc(NCc2ncco2)c2CN(Cc3ccc(cc3)C#N)CCc2c1C#N,178,5.96680029649041
Clc1nc(NCc2ncco2)c2CN(Cc3ccccc3)CCc2c1C#N,179,6.08729540379993
Clc1nc(NCc2nn[nH]n2)c2CN(Cc3ccccc3)CCc2c1C#N,180,4.69897000433602
Clc1nc(Nc2cnc(OC3COC3)nc2)c2CN(Cc3ccccc3)CCc2c1C#N,181,4.69897000433602
Clc1nc(Nc2cnccn2)c2CN(Cc3ccccc3)CCc2c1C#N,182,5.75971072227631
Clc1nc(Nc2cnn(-c3ccccc3)c(=O)c2)c2CN(Cc3ccccc3)CCc2c1C#N,183,4.69897000433602
Cn1cc(cn1)N1CCCC(C1)Nc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,184,4.69897000433602
Cn1ccnc1CNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,185,4.69897000433602
Cn1ncnc1CNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,186,4.69897000433602
FC(F)(F)COC(=O)N1CCc2c(C1)c(NCC#N)nc(Cl)c2C#N,187,5.28873733449748
FC(F)(F)c1nc2cc(Cl)c(Cl)cc2[nH]c1=O,188,4.39794000867204
FC(F)(F)c1nc2cc(Cl)c(Cl)cc2nc1C(C#N)c1ccccc1,189,4.69897000433602
FC(F)(F)c1nc2ccccc2[nH]c1=O,190,4.69897000433602
FC(F)(F)c1nc2ccccc2nc1Oc1ccc(Cl)cc1,191,4.69897000433602
FC(F)OCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)OCC(F)(F)F,192,5.72124639904717
FC(F)OCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3)C#N)Cc12,193,6.58087778289594
FC(F)OCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,194,6.44113241033475
FC(F)Oc1ccc(CN2CCc3c(C2)c(NC2CCOC2)nc(Cl)c3C#N)cc1,195,5.2572748686953
FC(F)Oc1ccc(CN2CCc3c(C2)c(NC2CCOCC2)nc(Cl)c3C#N)cc1,196,5.24184537803261
FC(F)Oc1ccc(CN2CCc3c(C2)c(NCC#N)nc(Cl)c3C#N)cc1,197,6.75703286811412
Fc1cc(cc(F)c1CN1CCc2c(C1)c(NC1CCOC1)nc(Cl)c2C#N)C#N,198,5.22329881601159
Fc1cc(cc(F)c1CN1CCc2c(C1)c(NC1CCOCC1)nc(Cl)c2C#N)C#N,199,5.15801519540989
Fc1cc(cc(F)c1CN1CCc2c(C1)c(NCC#N)nc(Cl)c2C#N)C#N,200,6.5694419779193
Fc1cc(cc(F)c1CN1CCc2c(C1)c(NCC1CCCO1)nc(Cl)c2C#N)C#N,201,7.24033215531037
Fc1cc(cc(F)c1CN1CCc2c(C1)c(NCc1ncco1)nc(Cl)c2C#N)C#N,202,5.86012091359876
Fc1ccc(Cc2noc(Nc3nc(Cl)c(C#N)c4CCN(Cc5ccccc5)Cc34)n2)cc1,203,4.69897000433602
Fc1ccc2nc(CNc3nc(Cl)c(C#N)c4CCN(Cc5ccccc5)Cc34)cn2c1,204,4.69897000433602
Fc1nc(NCC=C)c2CN(Cc3ccccc3)CCc2c1C#N,205,5.86201874172916
N#Cc1c2CCN(Cc3ccccc3)Cc2c(nc1N1CCOCC1)N1CCOCC1,206,4.69897000433602
NC(=O)CNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,207,4.69897000433602
Nc1ccc(CNc2nc(Cl)c(C#N)c3CCN(Cc4ccccc4)Cc23)nc1,208,4.85088084985246
Nc1n[nH]c2nc(NCCCO)c3CN(Cc4ccccc4)CCc3c12,209,4.69897000433602
Nc1n[nH]c2nc(Nc3ccccc3)c3CN(CCc3c12)C1CCCCC1,210,4.69897000433602
Nc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,211,4.69897000433602
Nc1nc(NCC=C)c2CN(Cc3ccccc3)CCc2c1C#N,212,4.69897000433602
OC(=O)C(CNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12)Cc1cccs1,213,4.69897000433602
OC(=O)C1(CC1)Nc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,214,4.69897000433602
OC(=O)C1CCC(CNc2nc(Cl)c(C#N)c3CCN(Cc4ccccc4)Cc23)CC1,215,4.69897000433602
OC(=O)CNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,216,4.69897000433602
OC(=O)c1nc2cc(Cl)c(Cl)cc2nc1C(F)(F)F,217,4.69897000433602
OCC(O)CNc1ccc(C#N)c(Cl)n1,218,4.69897000433602
OCC(O)CNc1ccc(Cl)c(n1)C#N,219,4.69897000433602
OCC(O)CNc1nc(Cl)c(C#N)c2CCN(Cc3c(F)cc(cc3F)C#N)Cc12,220,4.69897000433602
